assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
3,0,3, ,0,37,0,Hamonic,0,13,8474612,-10,3,0.08108,D,0,0,20242025,0,0,0.0,R,45,Travis Hamonic,OTT,1044.7297
9,6,14,0.25,2,44,10,Brazeau,0,14,8479638,-4,19,0.43181,R,4,5,20242025,0,0,0.15384,R,65,Justin Brazeau,BOS,821.8636
2,1,3,0.49579,0,41,2,Goodrow,0,36,8476624,-21,4,0.09756,C,0,0,20242025,1,1,0.04166,L,48,Barclay Goodrow,SJS,849.8292
8,7,14,0.52941,0,40,7,Skinner,0,8,8475784,-10,15,0.375,L,0,1,20242025,0,0,0.08139,L,86,Jeff Skinner,EDM,756.425
13,7,19,0.50788,4,43,10,Evans,0,8,8478133,7,23,0.53488,C,0,0,20242025,3,4,0.23809,R,42,Jake Evans,MTL,940.6046
31,1,19, ,1,43,2,Fox,0,22,8479323,2,33,0.76744,D,1,14,20242025,0,0,0.02857,R,70,Adam Fox,NYR,1423.6976
9,3,12, ,2,46,3,Ceci,0,12,8476879,-5,12,0.26086,D,0,0,20242025,0,0,0.06122,R,49,Cody Ceci,SJS,1313.8478
4,4,8, ,1,46,4,Ferraro,0,30,8479983,-21,8,0.17391,D,0,0,20242025,0,0,0.0909,L,44,Mario Ferraro,SJS,1218.4565
3,0,2,0.42857,0,27,0,Dewar,0,5,8480980,-1,3,0.11111,C,0,0,20242025,0,1,0.0,L,25,Connor Dewar,TOR,628.2962
5,3,7,0.0,0,24,3,Texier,0,6,8480074,-2,8,0.33333,C,0,1,20242025,0,0,0.07692,L,39,Alexandre Texier,STL,746.9583
16,4,19, ,1,45,4,Orlov,0,12,8475200,14,20,0.44444,D,0,1,20242025,0,0,0.05479,L,73,Dmitry Orlov,CAR,1203.3555
12,6,18, ,1,41,6,Severson,0,14,8476923,0,18,0.43902,D,0,0,20242025,0,0,0.08823,R,68,Damon Severson,CBJ,1261.6341
