blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
14,1.66,0.0,0,0.0,1,40,24,2.85,21,2.49,Skinner,1,3,2,2,20,28,0,8475784,L,20242025,L,39,Jeff Skinner,9,1.07,EDM,756.42
24,2.13,2.0,1,3.0,2,43,32,2.84,61,5.42,Evans,0,2,2,0,25,30,0,8478133,C,20242025,R,25,Jake Evans,7,0.62,MTL,940.6
62,3.64,1.0,1,2.0,1,43,45,2.64,27,1.58,Fox,1,1,4,0,30,38,0,8479323,D,20242025,R,82,Adam Fox,26,1.52,NYR,1423.69
84,5.0,0.0,0,0.0,0,46,44,2.62,47,2.79,Ceci,0,1,0,0,15,16,0,8476879,D,20242025,R,42,Cody Ceci,14,0.83,SJS,1313.84
16,2.1,0.0,0,0.0,1,37,18,2.37,15,1.97,Reichel,0,0,0,0,15,15,0,8482117,L,20242025,L,14,Lukas Reichel,8,1.05,CHI,738.86
68,4.41,0.0,0,0.0,0,43,46,2.98,64,4.15,Bahl,0,1,1,1,33,36,0,8480860,D,20242025,L,52,Kevin Bahl,14,0.9,CGY,1288.37
20,2.66,0.0,0,0.0,1,35,17,2.26,56,7.46,Bjugstad,0,2,0,0,24,26,0,8475760,C,20242025,R,25,Nick Bjugstad,4,0.53,UTA,771.34
43,3.11,0.0,0,0.0,0,45,25,1.81,19,1.37,Wennberg,0,1,0,0,25,26,2,8477505,C,20242025,L,34,Alexander Wennberg,21,1.52,SJS,1104.66
12,0.9,0.0,0,0.0,2,42,42,3.15,7,0.52,Keller,3,4,7,1,39,56,1,8479343,R,20242025,L,58,Clayton Keller,18,1.35,UTA,1142.5
7,0.83,0.0,1,1.0,1,39,18,2.15,15,1.79,Evangelista,0,2,5,0,14,21,0,8482146,R,20242025,R,20,Luke Evangelista,10,1.19,NSH,770.56
20,4.69,0.0,0,0.0,0,17,13,3.05,27,6.33,Korczak,0,0,0,0,2,2,0,8481527,D,20242025,R,16,Kaedan Korczak,4,0.93,VGK,901.94
4,5.26,0.0,0,0.0,1,4,3,3.94,9,11.83,Chibrikov,0,0,1,0,2,3,0,8482787,R,20242025,L,1,Nikita Chibrikov,1,1.31,WPG,684.25
12,1.67,0.0,0,0.0,0,31,16,2.22,21,2.92,Kulich,0,0,2,3,23,28,1,8483468,C,20242025,L,33,Jiri Kulich,9,1.25,BUF,833.48
41,4.05,1.0,0,1.0,0,40,41,4.05,97,9.59,Xhekaj,0,0,1,0,20,21,0,8482964,D,20242025,L,40,Arber Xhekaj,9,0.89,MTL,909.45
64,4.11,1.0,1,2.0,1,46,44,2.82,103,6.61,Ferraro,0,0,1,0,22,23,0,8479983,D,20242025,L,39,Mario Ferraro,26,1.66,SJS,1218.45
16,3.39,0.0,0,0.0,0,27,16,3.39,76,16.12,Dewar,0,0,1,0,8,10,0,8480980,C,20242025,L,15,Connor Dewar,2,0.42,TOR,628.29
9,1.8,0.0,0,0.0,0,24,9,1.8,13,2.61,Texier,0,1,0,0,12,13,0,8480074,C,20242025,L,14,Alexandre Texier,3,0.6,STL,746.95
32,2.12,0.0,1,1.0,1,45,51,3.39,61,4.05,Orlov,3,2,2,7,34,48,0,8475200,D,20242025,L,66,Dmitry Orlov,13,0.86,CAR,1203.35
70,4.87,1.0,0,1.0,1,41,57,3.96,25,1.73,Severson,0,3,3,0,25,31,0,8476923,D,20242025,R,42,Damon Severson,19,1.32,CBJ,1261.63
19,1.78,0.0,0,0.0,0,44,56,5.25,39,3.65,Gauthier,0,6,1,4,57,68,1,8483445,L,20242025,L,53,Cutter Gauthier,10,0.93,ANA,872.34
12,1.95,0.0,0,0.0,0,29,12,1.95,25,4.07,Tomasino,0,1,0,0,14,15,0,8481577,R,20242025,R,13,Philip Tomasino,5,0.81,"NSH,PIT",761.17
26,2.86,0.0,2,2.0,1,35,23,2.53,58,6.38,Gourde,0,2,1,0,23,26,0,8476826,C,20242025,L,19,Yanni Gourde,11,1.21,SEA,934.05
35,2.59,0.0,0,0.0,1,43,59,4.37,54,3.99,Kesselring,0,4,2,2,36,44,1,8480891,D,20242025,R,66,Michael Kesselring,14,1.03,UTA,1130.3
98,7.08,0.0,0,0.0,0,44,54,3.9,145,10.48,Gudas,0,0,1,0,26,27,0,8475462,D,20242025,R,58,Radko Gudas,3,0.21,ANA,1131.4
34,2.27,2.0,4,6.0,2,42,59,3.95,25,1.67,Hagel,1,5,2,0,37,45,0,8479542,L,20242025,L,64,Brandon Hagel,15,1.0,TBL,1280.04
8,1.07,0.0,0,0.0,1,40,17,2.27,55,7.36,Samoskevich,0,2,2,1,36,41,0,8482713,R,20242025,R,23,Mackie Samoskevich,8,1.07,FLA,672.4
10,1.29,0.0,0,0.0,2,40,15,1.94,42,5.45,Hoglander,0,1,1,0,16,18,0,8481535,L,20242025,L,13,Nils Hoglander,7,0.9,VAN,692.47
10,4.13,0.0,0,0.0,0,9,5,2.06,1,0.41,Nemec,1,1,0,0,3,5,0,8483495,D,20242025,R,9,Simon Nemec,4,1.65,NJD,967.22
23,1.47,0.0,1,1.0,2,46,42,2.69,42,2.69,Crosby,0,8,2,1,57,68,2,8471675,C,20242025,L,53,Sidney Crosby,17,1.09,PIT,1218.0
5,2.49,,0,,0,11,4,1.99,16,7.98,Bains,0,0,1,1,2,4,0,8483395,L,20242025,L,4,Arshdeep Bains,1,0.49,VAN,656.18
3,4.48,0.0,0,0.0,0,4,3,4.48,11,16.43,Nesterenko,0,0,1,0,1,2,0,8481754,C,20242025,L,2,Nikita Nesterenko,0,0.0,ANA,602.5
71,4.35,1.0,1,2.0,3,39,63,3.86,35,2.14,Josi,3,3,1,3,53,63,0,8474600,D,20242025,L,99,Roman Josi,20,1.22,NSH,1505.87
