assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
13,5,14,0.27272,2,47,7,Gauthier,1,12,8483445,-1,20,0.42553,L,2,6,20242025,0,0,0.07446,L,94,Cutter Gauthier,ANA,867.9148
6,3,6,0.55555,3,32,5,Tomasino,0,2,8481577,-2,11,0.34375,R,2,5,20242025,0,0,0.09615,R,52,Philip Tomasino,NSH,755.75
1,1,2,0.0,0,7,1,Nesterenko,0,0,8481754,0,2,0.28571,C,0,0,20242025,0,0,0.2,L,5,Nikita Nesterenko,ANA,573.1428
10,6,16,0.49863,1,35,6,Gourde,0,36,8476826,-5,16,0.45714,C,0,0,20242025,0,0,0.15789,L,38,Yanni Gourde,SEA,934.0571
13,4,16, ,1,46,5,Kesselring,1,54,8480891,13,18,0.3913,D,1,2,20242025,0,0,0.05747,R,87,Michael Kesselring,UTA,1137.7173
10,1,11, ,0,47,1,Gudas,0,60,8475462,-4,11,0.23404,D,0,0,20242025,0,0,0.01724,R,58,Radko Gudas,ANA,1141.7872
30,18,38,0.33333,1,46,20,Hagel,0,38,8479542,12,50,1.08695,L,0,7,20242025,2,5,0.15037,L,133,Brandon Hagel,TBL,1282.0652
8,6,13, ,4,43,7,Samoskevich,0,8,8482713,0,15,0.34883,R,1,2,20242025,0,0,0.1228,R,57,Mackie Samoskevich,FLA,691.0465
0,1,1,0.75,1,11,1,Bains,0,0,8483395,-4,1,0.0909,L,0,0,20242025,0,0,0.14285,L,7,Arshdeep Bains,VAN,656.1818
1,0,0, ,0,9,0,Nemec,0,4,8483495,-2,1,0.11111,D,0,1,20242025,0,0,0.0,R,9,Simon Nemec,NJD,967.2222
38,7,34,0.55614,4,49,13,Crosby,2,19,8471675,-17,51,1.04081,C,6,17,20242025,0,0,0.09154,L,142,Sidney Crosby,PIT,1209.653
6,3,9, ,1,43,3,Hoglander,0,24,8481535,0,9,0.2093,L,0,0,20242025,0,0,0.06666,L,45,Nils Hoglander,VAN,690.9069
25,7,19, ,1,42,9,Josi,0,16,8474600,-19,34,0.80952,D,2,15,20242025,0,0,0.072,L,125,Roman Josi,NSH,1514.0952
28,3,20, ,1,39,6,Dahlin,1,26,8480839,3,34,0.87179,D,3,14,20242025,0,0,0.05607,L,107,Rasmus Dahlin,BUF,1470.7948
13,1,12,0.43939,0,47,1,Janmark,0,12,8477406,-3,14,0.29787,C,0,0,20242025,0,2,0.03448,L,29,Mattias Janmark,EDM,777.1914
10,8,15,0.46666,2,47,8,Killorn,1,22,8473986,0,18,0.38297,L,0,3,20242025,0,0,0.11111,L,72,Alex Killorn,ANA,1044.3829
3,0,3, ,0,32,0,Desharnais,0,26,8479576,-5,3,0.09375,D,0,0,20242025,0,0,0.0,R,20,Vincent Desharnais,VAN,953.7187
4,3,7,0.0909,0,20,3,Greenway,0,13,8478413,-1,7,0.35,L,0,0,20242025,0,0,0.125,L,24,Jordan Greenway,BUF,955.15
16,8,22,0.4733,0,48,10,Beniers,0,10,8482665,8,26,0.54166,C,2,4,20242025,0,0,0.11764,L,85,Matty Beniers,SEA,1087.2291
7,4,10,0.28378,0,38,5,Leason,0,14,8481517,-2,12,0.31578,R,1,2,20242025,0,0,0.0909,R,55,Brett Leason,ANA,827.6578
2,2,4,0.5625,0,20,2,Raty,0,8,8482691,-2,4,0.2,C,0,0,20242025,0,0,0.16666,L,12,Aatu Raty,VAN,570.85
8,1,9, ,0,43,1,Maatta,0,12,8476874,7,9,0.2093,D,0,0,20242025,0,0,0.025,L,40,Olli Maatta,DET,1234.3953
4,2,6,0.53846,0,38,2,McCarron,0,46,8477446,-15,6,0.15789,C,0,0,20242025,0,0,0.05555,R,36,Michael McCarron,NSH,784.0789
7,7,14,0.48207,0,47,7,Dickinson,0,12,8477450,-6,14,0.29787,C,0,0,20242025,0,0,0.15217,L,46,Jason Dickinson,CHI,969.5531
6,3,9,0.55696,0,47,3,Beecher,0,8,8481556,-3,9,0.19148,C,0,0,20242025,0,0,0.10344,L,29,John Beecher,BOS,694.1063
0,0,0, ,0,2,0,Bradley,0,0,8482507,0,0,0.0,L,0,0,20242025,0,0, ,L,0,Chase Bradley,COL,334.5
15,10,23,0.43181,1,39,17,Voronkov,0,39,8481716,15,32,0.82051,L,7,9,20242025,0,0,0.20238,L,84,Dmitri Voronkov,CBJ,1025.3076
7,11,18,0.49116,0,50,11,Kunin,0,33,8479316,-14,18,0.36,C,0,0,20242025,0,0,0.15068,R,73,Luke Kunin,SJS,906.04
39,9,31, ,2,42,12,Hughes,0,27,8480800,11,51,1.21428,D,3,20,20242025,0,0,0.096,L,125,Quinn Hughes,VAN,1521.5
2,1,3, ,1,26,1,Johansson,0,8,8481607,-5,3,0.11538,D,0,0,20242025,0,0,0.04761,L,21,Albert Johansson,DET,864.7692
9,0,7,1.0,2,33,2,Kuzmenko,0,12,8483808,-6,11,0.33333,L,2,4,20242025,0,0,0.0625,R,32,Andrei Kuzmenko,CGY,894.1515
3,1,4,0.45112,0,33,1,Ostapchuk,0,20,8482859,-5,4,0.12121,C,0,0,20242025,0,0,0.0625,L,16,Zack Ostapchuk,OTT,533.909
